doc_19,Q5,1
doc_144,Q5,1
doc_893,Q5,1
doc_908,Q5,1
doc_1050,Q5,1
doc_1284,Q5,1
doc_1360,Q5,1
doc_1386,Q5,1
doc_1404,Q5,1
doc_1426,Q5,1
doc_1005,Q5,0
doc_1618,Q5,0
doc_1848,Q5,0
doc_2124,Q5,0
doc_2709,Q5,0
doc_2838,Q5,0
doc_3455,Q5,0
doc_3584,Q5,0
doc_3608,Q5,0
doc_3935,Q5,0
doc_331,Q4,1
doc_410,Q4,1
doc_1009,Q4,1
doc_1269,Q4,1
doc_2050,Q4,1
doc_2177,Q4,1
doc_2706,Q4,1
doc_2988,Q4,1
doc_3270,Q4,1
doc_3453,Q4,1
doc_142,Q4,0
doc_323,Q4,0
doc_690,Q4,0
doc_698,Q4,0
doc_748,Q4,0
doc_962,Q4,0
doc_1260,Q4,0
doc_1778,Q4,0
doc_2466,Q4,0
doc_3742,Q4,0
doc_677,Q3,1
doc_726,Q3,1
doc_738,Q3,1
doc_741,Q3,1
doc_938,Q3,1
doc_969,Q3,1
doc_1583,Q3,1
doc_1769,Q3,1
doc_2470,Q3,1
doc_2555,Q3,1
doc_170,Q3,0
doc_544,Q3,0
doc_981,Q3,0
doc_1216,Q3,0
doc_1285,Q3,0
doc_1329,Q3,0
doc_1470,Q3,0
doc_2184,Q3,0
doc_3256,Q3,0
doc_3846,Q3,0
doc_63,Q2,1
doc_88,Q2,1
doc_156,Q2,1
doc_315,Q2,1
doc_392,Q2,1
doc_410,Q2,1
doc_1752,Q2,1
doc_2090,Q2,1
doc_2105,Q2,1
doc_3940,Q2,1
doc_43,Q2,0
doc_84,Q2,0
doc_187,Q2,0
doc_202,Q2,0
doc_256,Q2,0
doc_374,Q2,0
doc_518,Q2,0
doc_577,Q2,0
doc_609,Q2,0
doc_610,Q2,0
doc_77,Q1,1
doc_322,Q1,1
doc_934,Q1,1
doc_1467,Q1,1
doc_1590,Q1,1
doc_1602,Q1,1
doc_2040,Q1,1
doc_2161,Q1,1
doc_2749,Q1,1
doc_3603,Q1,1
doc_26,Q1,0
doc_216,Q1,0
doc_549,Q1,0
doc_596,Q1,0
doc_1192,Q1,0
doc_1459,Q1,0
doc_1864,Q1,0
doc_2128,Q1,0
doc_2257,Q1,0
doc_2352,Q1,0
